#Sequential:
N_FILES:   200 | BATCH:  0 | TIME:        502 ms
N_FILES:   200 | BATCH:  1 | TIME:        501 ms
N_FILES:   200 | BATCH:  2 | TIME:        475 ms
N_FILES:   200 | BATCH:  3 | TIME:        454 ms
N_FILES:   200 | BATCH:  4 | TIME:        465 ms

N_FILES:   300 | BATCH:  0 | TIME:        678 ms
N_FILES:   300 | BATCH:  1 | TIME:        614 ms
N_FILES:   300 | BATCH:  2 | TIME:        665 ms
N_FILES:   300 | BATCH:  3 | TIME:        603 ms
N_FILES:   300 | BATCH:  4 | TIME:        655 ms

N_FILES:   400 | BATCH:  0 | TIME:        892 ms
N_FILES:   400 | BATCH:  1 | TIME:        832 ms
N_FILES:   400 | BATCH:  2 | TIME:        876 ms
N_FILES:   400 | BATCH:  3 | TIME:        839 ms
N_FILES:   400 | BATCH:  4 | TIME:        882 ms

N_FILES:   500 | BATCH:  0 | TIME:       1060 ms
N_FILES:   500 | BATCH:  1 | TIME:       1008 ms
N_FILES:   500 | BATCH:  2 | TIME:       1055 ms
N_FILES:   500 | BATCH:  3 | TIME:       1097 ms
N_FILES:   500 | BATCH:  4 | TIME:       1062 ms

N_FILES:   600 | BATCH:  0 | TIME:       1212 ms
N_FILES:   600 | BATCH:  1 | TIME:       1269 ms
N_FILES:   600 | BATCH:  2 | TIME:       1237 ms
N_FILES:   600 | BATCH:  3 | TIME:       1302 ms
N_FILES:   600 | BATCH:  4 | TIME:       1284 ms

N_FILES:   700 | BATCH:  0 | TIME:       1483 ms
N_FILES:   700 | BATCH:  1 | TIME:       1499 ms
N_FILES:   700 | BATCH:  2 | TIME:       1507 ms
N_FILES:   700 | BATCH:  3 | TIME:       1457 ms
N_FILES:   700 | BATCH:  4 | TIME:       1483 ms

N_FILES:   800 | BATCH:  0 | TIME:       1851 ms
N_FILES:   800 | BATCH:  1 | TIME:       2017 ms
N_FILES:   800 | BATCH:  2 | TIME:       1767 ms
N_FILES:   800 | BATCH:  3 | TIME:       1736 ms
N_FILES:   800 | BATCH:  4 | TIME:       1729 ms

N_FILES:   900 | BATCH:  0 | TIME:       1952 ms
N_FILES:   900 | BATCH:  1 | TIME:       1895 ms
N_FILES:   900 | BATCH:  2 | TIME:       1894 ms
N_FILES:   900 | BATCH:  3 | TIME:       1860 ms
N_FILES:   900 | BATCH:  4 | TIME:       1913 ms

N_FILES:  1000 | BATCH:  0 | TIME:       2071 ms
N_FILES:  1000 | BATCH:  1 | TIME:       2052 ms
N_FILES:  1000 | BATCH:  2 | TIME:       2127 ms
N_FILES:  1000 | BATCH:  3 | TIME:       2107 ms
N_FILES:  1000 | BATCH:  4 | TIME:       2084 ms

#Parallel - CNC 8 Threads
N_FILES:   100 | BATCH:  0 | TIME:        177 ms
N_FILES:   100 | BATCH:  1 | TIME:        155 ms
N_FILES:   100 | BATCH:  2 | TIME:        168 ms
N_FILES:   100 | BATCH:  3 | TIME:        181 ms
N_FILES:   100 | BATCH:  4 | TIME:        181 ms

N_FILES:   200 | BATCH:  0 | TIME:        351 ms
N_FILES:   200 | BATCH:  1 | TIME:        352 ms
N_FILES:   200 | BATCH:  2 | TIME:        371 ms
N_FILES:   200 | BATCH:  3 | TIME:        370 ms
N_FILES:   200 | BATCH:  4 | TIME:        364 ms

N_FILES:   300 | BATCH:  0 | TIME:        544 ms
N_FILES:   300 | BATCH:  1 | TIME:        549 ms
N_FILES:   300 | BATCH:  2 | TIME:        539 ms
N_FILES:   300 | BATCH:  3 | TIME:        538 ms
N_FILES:   300 | BATCH:  4 | TIME:        542 ms

N_FILES:   400 | BATCH:  0 | TIME:        731 ms
N_FILES:   400 | BATCH:  1 | TIME:        725 ms
N_FILES:   400 | BATCH:  2 | TIME:        722 ms
N_FILES:   400 | BATCH:  3 | TIME:        709 ms
N_FILES:   400 | BATCH:  4 | TIME:        753 ms

N_FILES:   500 | BATCH:  0 | TIME:        937 ms
N_FILES:   500 | BATCH:  1 | TIME:        872 ms
N_FILES:   500 | BATCH:  2 | TIME:        958 ms
N_FILES:   500 | BATCH:  3 | TIME:        932 ms
N_FILES:   500 | BATCH:  4 | TIME:        926 ms

N_FILES:   600 | BATCH:  0 | TIME:       1065 ms
N_FILES:   600 | BATCH:  1 | TIME:       1080 ms
N_FILES:   600 | BATCH:  2 | TIME:       1120 ms
N_FILES:   600 | BATCH:  3 | TIME:       1129 ms
N_FILES:   600 | BATCH:  4 | TIME:       1140 ms

N_FILES:   700 | BATCH:  0 | TIME:       1279 ms
N_FILES:   700 | BATCH:  1 | TIME:       1319 ms
N_FILES:   700 | BATCH:  2 | TIME:       1403 ms
N_FILES:   700 | BATCH:  3 | TIME:       1279 ms
N_FILES:   700 | BATCH:  4 | TIME:       1300 ms

N_FILES:   800 | BATCH:  0 | TIME:       1469 ms
N_FILES:   800 | BATCH:  1 | TIME:       1523 ms
N_FILES:   800 | BATCH:  2 | TIME:       1456 ms
N_FILES:   800 | BATCH:  3 | TIME:       1485 ms
N_FILES:   800 | BATCH:  4 | TIME:       1470 ms

N_FILES:   900 | BATCH:  0 | TIME:       1629 ms
N_FILES:   900 | BATCH:  1 | TIME:       1722 ms
N_FILES:   900 | BATCH:  2 | TIME:       1667 ms
N_FILES:   900 | BATCH:  3 | TIME:       1666 ms
N_FILES:   900 | BATCH:  4 | TIME:       1690 ms

N_FILES:  1000 | BATCH:  0 | TIME:       1853 ms
N_FILES:  1000 | BATCH:  1 | TIME:       1724 ms
N_FILES:  1000 | BATCH:  2 | TIME:       1825 ms
N_FILES:  1000 | BATCH:  3 | TIME:       1776 ms
N_FILES:  1000 | BATCH:  4 | TIME:       1854 ms

#Parallel - CNC 16 Threads
N_FILES:   100 | BATCH:  0 | TIME:        235 ms
N_FILES:   100 | BATCH:  1 | TIME:        217 ms
N_FILES:   100 | BATCH:  2 | TIME:        233 ms
N_FILES:   100 | BATCH:  3 | TIME:        246 ms
N_FILES:   100 | BATCH:  4 | TIME:        241 ms

N_FILES:   200 | BATCH:  0 | TIME:        479 ms
N_FILES:   200 | BATCH:  1 | TIME:        508 ms
N_FILES:   200 | BATCH:  2 | TIME:        473 ms
N_FILES:   200 | BATCH:  3 | TIME:        477 ms
N_FILES:   200 | BATCH:  4 | TIME:        461 ms

N_FILES:   300 | BATCH:  0 | TIME:        714 ms
N_FILES:   300 | BATCH:  1 | TIME:        695 ms
N_FILES:   300 | BATCH:  2 | TIME:        711 ms
N_FILES:   300 | BATCH:  3 | TIME:        770 ms
N_FILES:   300 | BATCH:  4 | TIME:        695 ms

N_FILES:   400 | BATCH:  0 | TIME:        939 ms
N_FILES:   400 | BATCH:  1 | TIME:       1125 ms
N_FILES:   400 | BATCH:  2 | TIME:       1109 ms
N_FILES:   400 | BATCH:  3 | TIME:       1078 ms
N_FILES:   400 | BATCH:  4 | TIME:        969 ms

N_FILES:   500 | BATCH:  0 | TIME:       1231 ms
N_FILES:   500 | BATCH:  1 | TIME:       1173 ms
N_FILES:   500 | BATCH:  2 | TIME:       1230 ms
N_FILES:   500 | BATCH:  3 | TIME:       1366 ms
N_FILES:   500 | BATCH:  4 | TIME:       1348 ms

N_FILES:   600 | BATCH:  0 | TIME:       1411 ms
N_FILES:   600 | BATCH:  1 | TIME:       1413 ms
N_FILES:   600 | BATCH:  2 | TIME:       1442 ms
N_FILES:   600 | BATCH:  3 | TIME:       1444 ms
N_FILES:   600 | BATCH:  4 | TIME:       1462 ms

N_FILES:   700 | BATCH:  0 | TIME:       1688 ms
N_FILES:   700 | BATCH:  1 | TIME:       1732 ms
N_FILES:   700 | BATCH:  2 | TIME:       1674 ms
N_FILES:   700 | BATCH:  3 | TIME:       1624 ms
N_FILES:   700 | BATCH:  4 | TIME:       1753 ms

N_FILES:   800 | BATCH:  0 | TIME:       1928 ms
N_FILES:   800 | BATCH:  1 | TIME:       1961 ms
N_FILES:   800 | BATCH:  2 | TIME:       1895 ms
N_FILES:   800 | BATCH:  3 | TIME:       1934 ms
N_FILES:   800 | BATCH:  4 | TIME:       1895 ms

N_FILES:   900 | BATCH:  0 | TIME:       2131 ms
N_FILES:   900 | BATCH:  1 | TIME:       2272 ms
N_FILES:   900 | BATCH:  2 | TIME:       2133 ms
N_FILES:   900 | BATCH:  3 | TIME:       2162 ms
N_FILES:   900 | BATCH:  4 | TIME:       2186 ms

N_FILES:  1000 | BATCH:  0 | TIME:       2369 ms
N_FILES:  1000 | BATCH:  1 | TIME:       2364 ms
N_FILES:  1000 | BATCH:  2 | TIME:       2467 ms
N_FILES:  1000 | BATCH:  3 | TIME:       2390 ms
N_FILES:  1000 | BATCH:  4 | TIME:       2472 ms
#
